name,internal,description,billingstatementidentifier,shards,permissions,reqsubs,subCategory,alvl,dependent,categories,dontAssociate,keyValueChanges,itemID,prices,taxClassification,prerequisites,daysGranted,subGranted,activationKeyPrefix,expireDays,xboxOfferID,xboxContentID,recruitUpgraded,referredProduct,recruitBilled,,,
PRD-CO-LifetimeCS,fightclub,CO Lifetime,,"COLifetime,Live,playtest",LifetimeSub: 1,,,0,,pc-co-web-cs,,"PRD-CO-LifetimePO = 1, FC.VanityPetUnlock.Actionfig_Se_Foxbat = 1, FC.Costume.Retailer_Art_Deco_Set = 1, FC.Costume.Retailer_Retro_Future_Set = 1, STO.Costume.Retailer_Mirror_Universe = 1, FC.ExtraCharacterSlots += 8",,"199.99 USD, 219.99 CAD, 119.99 GBP, 147.99 EUR, 1099.99 DKK",4,,0,S-CO,,0,0,0,,,,"loc:""de"":""Champions Online Lifetime-Abo"":"" ""","loc:""en-US"":""Champions Online Lifetime Subscription"":"" ""","loc:""fr"":""ABONNEMENT A VIE CHAMPIONS ONLINE"":"" """
PRD-CO-Lifetime-Employee,fightclub,Lifetime Employee Account with CO Digital Copy,,"COLifetime,Live",AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;LifetimeSub: 1;token: retail;Upgraded: 1;XMPPAccess: 1,,,0,,pc-co-web,,"ST.IgnoreLoginQueue=1, PRD-CO-LifetimePO = 1,PRD-CO-R = 1, FC.VanityPetUnlock.Actionfig_Se_Foxbat = 1, FC.VanityPetUnlock.Actionfig_Se_Grond = 1, CrypticEmployee = 1, FC.VanityPetUnlock.Actionfig_Se_Steampunk = 1, FC.VanityPetUnlock.Actionfig_Se_Drdestroyerretro = 1, FC.Costume.Retailer_Art_Deco_Set = 1, FC.Costume.Retailer_Retro_Future_Set = 1, STO.Costume.Retailer_Mirror_Universe = 1, FC.Costume.Retailer_Questionite_Body_Armor = 1, FC.Costume.Retailer_Grenade_Bandoliers = 1, FC.Costume.Retailer_Insectoid_Airfoil = 1, FC.Costume.Retailer_Harlequin_Headpiece = 1, FC.Costume.Retailer_Vigilante_Skewerhelm = 1, FC.Costume.Retailer_Questionite_Power_Armor = 1, FC.Costume.Retailer_Neutronium_Shoulder_Generators = 1, FC.Costume.Retailer_Kendrium_Shoulderpad = 1, FC.Costume.Retailer_Retro_Jetpro = 1, FC.Costume.Retailer_Kendrium_Fleethelm = 1, FC.Costume.Retailer_Gadgeteer_Backpack = 1, PRD-CO-M-FI-BenignSymbiote = 1, PRD-CO-M-FI-SecondaryMutation = 1, PRD-CO-M-FI-IbornTenacity = 1, PRD-CO-M-FI-HyperconvectionFieldGenerator = 1, PRD-CO-M-FI-AnagogicAura = 1, PRD-CO-M-FI-EmergencyOrbitalHowitzer = 1, PRD-CO-M-FI-AntigravBoots = 1, PRD-CO-M-FI-VoltanicPotential = 1, FC.ExtraCharacterSlots += 8, FC.VanityPetUnlock.Actionfig_Se_Defender = 1, FC.VanityPetUnlock.Actionfig_Se_Drdestroyer = 1, FC.VanityPetUnlock.Actionfig_Se_Ironclad = 1, FC.VanityPetUnlock.Actionfig_Se_Witchcraft = 1, FC.VanityPetUnlock.Actionfig_Se_Kinetik = 1, FC.VanityPetUnlock.Actionfig_Se_Armyman = 1, FC.VanityPetUnlock.Actionfig_Se_Clown = 1, FC.VanityPetUnlock.Actionfig_Se_Pirate = 1, FC.VanityPetUnlock.Actionfig_Se_Robot = 1, FC.VanityPetUnlock.Actionfig_Se_Armyhelicopter = 1, FC.VanityPetUnlock.Actionfig_Se_Civilianhelicopter = 1, FC.VanityPetUnlock.Actionfig_Se_Submarine = 1,CrypticPoints += 400, FC.VanityPetUnlock.Actionfig_Se_Bughunter = 1, FC.VanityPetUnlock.Actionfig_Se_Doctorsilverback = 1, FC.VanityPetUnlock.Actionfig_Se_Minimegadestroid = 1, FC.VanityPetUnlock.Actionfig_Se_Defenderpowerarmor = 1, FC.VanityPetUnlock.Actionfig_Se_Newbton = 1, FC.Costume.Items_Public_Test_Rewards_Hat = 1, FC.Costume.Microtransactions_Emblempack_Weapons = 1, FC.Costume.Microtransactions_Emblempack_Bestial = 1, FC.Costume.Microtransactions_Emblempack_Scifi = 1, FC.Costume.Microtransactions_Robotic_Tail_Plus_Wings = 1, FC.Costume.Microtransactions_Samurai = 1, FC.Costume.Microtransactions_Halloween_All = 1, FC.Costume.Microtransactions_Cape_Collection = 1, FC.Costume.Microtransactions_Dark_Demon = 1, FC.Costume.Microtransactions_Hats_Heads = 1, FC.Costume.Microtransactions_High_Tech = 1, FC.Costume.Microtransactions_Redeemed_Villains = 1, FC.Costume.Microtransactions_Wild_Things = 1, FC.Costume.Microtransactions_Zombie_Hero = 1, FC.Costume.Microtransactions_Dark_Fantasy_Armor = 1, FC.Costume.Microtransactions_Steampunk_Cyborg = 1, FC.Costume.Microtransactions_Serpent_Armor = 1",,,0,,0,S-CO,,0,0,0,,,,"loc:""de"":""Champions Online Lifetime Employee Account"":"" ""","loc:""en-US"":""Champions Online Lifetime Employee Account"":"" ""","loc:""fr"":""Champions Online Lifetime Employee Account"":"" """
PRD-CO-LifetimePO,fightclub,CO Lifetime,,"COLifetime,Live,POSub",LifetimeSub: 1,,,0,,pc-co-web-po,,"PRD-CO-LifetimePO = 1, FC.VanityPetUnlock.Actionfig_Se_Foxbat = 1, FC.Costume.Retailer_Art_Deco_Set = 1, FC.Costume.Retailer_Retro_Future_Set = 1, STO.Costume.Retailer_Mirror_Universe = 1, FC.ExtraCharacterSlots += 8",,0 JPY,4,,0,S-CO,,0,0,0,,,,"loc:""de"":""Champions Online Lifetime-Abo"":"" ""","loc:""en-US"":""Champions Online Lifetime Subscription"":"" ""","loc:""fr"":""ABONNEMENT A VIE CHAMPIONS ONLINE"":"" """
PRD-STO-CB-Press-24,StarTrek,Star Trek keys for press with 24/7 access,,"Live,playtest","AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;LifetimeSub: 1;Press: 1,token: STOPress;Upgraded: 1",,,0,,pc-sto-web-cb,,"Press = 1, STOPress = 1, PressAccount_STO = 1,ST.Species.SF_TrillAncient_Male = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1,ST.IgnoreLoginQueue = 1, ST.ExtraCharacterSlots+=2, PRD-STO-M-FI-KlingonBorgBridgeOfficer = 1, PRD-STO-M-FI-FedBorgBridgeOfficer = 1,  PRD-STO-M-EM-BloodwineEmote = 1, PRD-STO-M-EM-KahnEmote = 1, PRD-STO-M-FI-UssEnterprise = 1, PRD-STO-M-CP-NXPrefix = 1, PRD-STO-M-FI-BonusSkillPoints = 1, PRD-STO-M-FI-NeodymiumDeflector = 1, PRD-STO-M-FI-TR116Phaser = 1, PRD-STO-M-PT-Targ = 1, PRD-STO-M-PT-Tribble = 1,PRD-STO-M-FI-AutomatedDefenseBattery = 1,PRD-STO-M-FI-PersonalShield = 1, PRD-STO-M-FI-ChromArmor = 1,PRD-STO-M-FI-RedMatterCapacitor = 1, PRD-STO-M-FI-PetShuttle = 1, ST.Costume.Promotion_Costume_Ds9_Male_01= 1, ST.Costume.Promotion_Costume_Ds9_Female_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Male_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Female_01 = 1, ST.Costume.Promotion_Costume_Tos_Male_01=1, ST.Costume.Promotion_Costume_Tos_Female_01=1, ST.Costume.Promotion_Costume_Tos_Mirror_Male_01=1, ST.Costume.Promotion_Costume_Twok_Male_01=1, ST.Costume.Promotion_Costume_Twok_Female_01=1, ST.Costume.Promotion_Costume_Twok_Female_02=1, ST.Costume.Promotion_Costume_Twok_Male_02=1, ST.Species.SF_Klingon_Male = 1, ST.Species.SF_Ferengi_Male = 1",,,0,,0,,,0,0,0,,,,"loc:""de"":""Star Trek keys for press with 24/7 access"":"" ""","loc:""en-US"":""Star Trek keys for press with 24/7 access"":"" ""","loc:""fr"":""Star Trek keys for press with 24/7 access"":"" """
PRD-STO-CS-LifetimePO,StarTrek,Lifetime Preorder for CS use,,"Live,STOLifetime",AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token: retail;Upgraded: 1,S-STO,sc-sto-web,0,,pc-sto-web-cs,,"ST.Costume.Promotion_Costume_Lifetime_Badge_STO = 1, STOLifetime = 1,ST.IgnoreLoginQueue = 1,PRD-STO-R-LifetimePO = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1, ST.ExtraCharacterSlots+=2",,"239.99 USD, 251.99 CAD, 153.99 GBP, 174.99 EUR, 1299.99 DKK",0,,0,S-STO,,0,0,0,,,,"loc:""de"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""fr"":""Star Trek Online Lifetime Subscription"":"" """
PRD-STO-E-Lifetime,StarTrek,Employee STO Lifetime,,"Live,STOLifetime",AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token: retail;Upgraded: 1;XMPPAccess: 1,S-STO,,0,,pc-sto-web,,"CrypticEmployee = 1, STOLifetime = 1,ST.Species.SF_TrillAncient_Male = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1,ST.IgnoreLoginQueue = 1, ST.ExtraCharacterSlots+=2, PRD-STO-M-FI-KlingonBorgBridgeOfficer = 1, PRD-STO-M-FI-FedBorgBridgeOfficer = 1,  PRD-STO-M-EM-BloodwineEmote = 1, PRD-STO-M-EM-KahnEmote = 1, PRD-STO-M-FI-UssEnterprise = 1, PRD-STO-M-CP-NXPrefix = 1, PRD-STO-M-FI-BonusSkillPoints = 1, PRD-STO-M-FI-NeodymiumDeflector = 1, PRD-STO-M-FI-TR116Phaser = 1, PRD-STO-M-PT-Targ = 1, PRD-STO-M-PT-Tribble = 1,PRD-STO-M-FI-AutomatedDefenseBattery = 1,PRD-STO-M-FI-PersonalShield = 1, PRD-STO-M-FI-ChromArmor = 1,PRD-STO-M-FI-RedMatterCapacitor = 1, PRD-STO-M-FI-PetShuttle = 1, ST.Costume.Promotion_Costume_Ds9_Male_01= 1, ST.Costume.Promotion_Costume_Ds9_Female_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Male_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Female_01 = 1, ST.Costume.Promotion_Costume_Tos_Male_01=1, ST.Costume.Promotion_Costume_Tos_Female_01=1, ST.Costume.Promotion_Costume_Tos_Mirror_Male_01=1, ST.Costume.Promotion_Costume_Twok_Male_01=1, ST.Costume.Promotion_Costume_Twok_Female_01=1, ST.Costume.Promotion_Costume_Twok_Female_02=1, ST.Costume.Promotion_Costume_Twok_Male_02=1, ST.Species.SF_Klingon_Male = 1, ST.Species.SF_Ferengi_Male = 1",,,0,,0,S-STO,,0,0,0,,,,"loc:""de"":""Star Trek Online Lifetime Employee Account"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Employee Account"":"" ""","loc:""fr"":""Star Trek Online Lifetime Employee Account"":"" """
PRD-STO-E-Lifetime,StarTrek,Employee STO Lifetime,,"Live,STOLifetime",AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token: retail;Upgraded: 1;XMPPAccess: 1,S-STO,,0,,pc-sto-web,,"CrypticEmployee = 1, STOLifetime = 1,ST.Species.SF_TrillAncient_Male = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1,ST.IgnoreLoginQueue = 1, ST.ExtraCharacterSlots+=2, PRD-STO-M-FI-KlingonBorgBridgeOfficer = 1, PRD-STO-M-FI-FedBorgBridgeOfficer = 1,  PRD-STO-M-EM-BloodwineEmote = 1, PRD-STO-M-EM-KahnEmote = 1, PRD-STO-M-FI-UssEnterprise = 1, PRD-STO-M-CP-NXPrefix = 1, PRD-STO-M-FI-BonusSkillPoints = 1, PRD-STO-M-FI-NeodymiumDeflector = 1, PRD-STO-M-FI-TR116Phaser = 1, PRD-STO-M-PT-Targ = 1, PRD-STO-M-PT-Tribble = 1,PRD-STO-M-FI-AutomatedDefenseBattery = 1,PRD-STO-M-FI-PersonalShield = 1, PRD-STO-M-FI-ChromArmor = 1,PRD-STO-M-FI-RedMatterCapacitor = 1, PRD-STO-M-FI-PetShuttle = 1, ST.Costume.Promotion_Costume_Ds9_Male_01= 1, ST.Costume.Promotion_Costume_Ds9_Female_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Male_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Female_01 = 1, ST.Costume.Promotion_Costume_Tos_Male_01=1, ST.Costume.Promotion_Costume_Tos_Female_01=1, ST.Costume.Promotion_Costume_Tos_Mirror_Male_01=1, ST.Costume.Promotion_Costume_Twok_Male_01=1, ST.Costume.Promotion_Costume_Twok_Female_01=1, ST.Costume.Promotion_Costume_Twok_Female_02=1, ST.Costume.Promotion_Costume_Twok_Male_02=1, ST.Species.SF_Klingon_Male = 1, ST.Species.SF_Ferengi_Male = 1",,,0,,0,S-STO,,0,0,0,,,,"loc:""de"":""Star Trek Online Lifetime Employee Account"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Employee Account"":"" ""","loc:""fr"":""Star Trek Online Lifetime Employee Account"":"" """
PRD-STO-PR-Lifetime,StarTrek,Lifetime with Retail for VIPs,,"Live,STOLifetime",AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token: retail;Upgraded: 1,,,0,,pc-sto-web,,"STOLifetime = 1,ST.Species.SF_TrillAncient_Male = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1,ST.IgnoreLoginQueue = 1, ST.ExtraCharacterSlots+=2, PRD-STO-M-FI-KlingonBorgBridgeOfficer = 1, PRD-STO-M-FI-FedBorgBridgeOfficer = 1,  PRD-STO-M-EM-BloodwineEmote = 1, PRD-STO-M-EM-KahnEmote = 1, PRD-STO-M-FI-UssEnterprise = 1, PRD-STO-M-CP-NXPrefix = 1, PRD-STO-M-FI-BonusSkillPoints = 1, PRD-STO-M-FI-NeodymiumDeflector = 1, PRD-STO-M-FI-TR116Phaser = 1, PRD-STO-M-PT-Targ = 1, PRD-STO-M-PT-Tribble = 1,PRD-STO-M-FI-AutomatedDefenseBattery = 1,PRD-STO-M-FI-PersonalShield = 1, PRD-STO-M-FI-ChromArmor = 1,PRD-STO-M-FI-RedMatterCapacitor = 1, PRD-STO-M-FI-PetShuttle = 1, ST.Costume.Promotion_Costume_Ds9_Male_01= 1, ST.Costume.Promotion_Costume_Ds9_Female_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Male_01= 1, ST.Costume.Promotion_Costume_Tng_Tv_Female_01 = 1, ST.Costume.Promotion_Costume_Tos_Male_01=1, ST.Costume.Promotion_Costume_Tos_Female_01=1, ST.Costume.Promotion_Costume_Tos_Mirror_Male_01=1, ST.Costume.Promotion_Costume_Twok_Male_01=1, ST.Costume.Promotion_Costume_Twok_Female_01=1, ST.Costume.Promotion_Costume_Twok_Female_02=1, ST.Costume.Promotion_Costume_Twok_Male_02=1, ST.Species.SF_Klingon_Male = 1, ST.Species.SF_Ferengi_Male = 1",,,0,,0,,,0,0,0,,,,"loc:""de"":""Star Trek Online"":"" ""","loc:""en-US"":""Star Trek Online"":"" ""","loc:""fr"":""Star Trek Online"":"" """
PRD-STO-R-Lifetime,StarTrek,Star Trek Online  - Lifetime,,"Live,STOLifetime",AllBasicLevels: 1;AllBasicZones: 1;AllSocial: 1;AllTrade: 1;token: retail;Upgraded: 1,,,0,,pc-sto-web,,"ST.Costume.Promotion_Costume_Lifetime_Badge_STO = 1, STOLifetime = 1,ST.IgnoreLoginQueue = 1,PRD-STO-R-Lifetime = 1",,"299.99 USD, 343.74 CAD, 192.49 GBP, 218.74 EUR, 1625.00 DKK",4,,0,S-STO,,0,0,0,,,,"loc:""de"":""Startrek Online Lifetime Subscription"":"" ""","loc:""en-US"":""Startrek Online Lifetime Subscription"":"" ""","loc:""fr"":""Startrek Online Lifetime Subscription"":"" """
PRD-STO-R-LifetimePO,StarTrek,Star Trek Online Lifetime,,STOLifetime,,,,0,,pc-sto-web-po,,"STOLifetime = 1,ST.IgnoreLoginQueue = 1,PRD-STO-R-LifetimePO = 1, ST.Species.KE_BorgLiberated_Male=1, ST.Species.SF_BorgLiberated_Male=1, ST.ExtraCharacterSlots+=2",,,4,,0,S-STO,,0,0,0,,,,"loc:""de"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""en-US"":""Star Trek Online Lifetime Subscription"":"" ""","loc:""fr"":""Star Trek Online Lifetime Subscription"":"" """
