name,categories,prices,dontAssociate,internal,prerequisites,keyValueChanges
PRD-STO-M-CP-BUY-DS9,"ST.All,ST.Captaincostumes",280 _CrypticPoints,1,StarTrek,"""""",ST.Costume.Promotion_Costume_Ds9_Male_01 = 1
PRD-STO-M-CP-BUY-MirrorUniv,"ST.Captaincostumes,ST.All",280 _CrypticPoints,1,StarTrek,"""""",STO.Costume.Retailer_Mirror_Universe = 1
PRD-STO-M-CP-BUY-NXPrefix,"ST.Ships,ST.All",80 _CrypticPoints,1,StarTrek,PRD-STO-M-CP-NXPrefix < 1,PRD-STO-M-CP-NXPrefix = 1
PRD-STO-M-CP-BUY-TNG,"ST.All,ST.Captaincostumes",280 _CrypticPoints,1,StarTrek,"""""",ST.Costume.Promotion_Costume_Tng_Tv_Female_01 = 1
PRD-STO-M-CP-BUY-TOS,"ST.Captaincostumes,ST.All",280 _CrypticPoints,1,StarTrek,"""""",ST.Costume.Promotion_Costume_Tos_Male_01 = 1
PRD-STO-M-EM-BUY-BloodwineEmote,"ST.All,ST.Emotes",20 _CrypticPoints,1,StarTrek,PRD-STO-M-EM-BloodwineEmote < 1,PRD-STO-M-EM-BloodwineEmote = 1
PRD-STO-M-EM-BUY-KahnEmote,"ST.Emotes,ST.All",20 _CrypticPoints,1,StarTrek,PRD-STO-M-EM-KahnEmote < 1,PRD-STO-M-EM-KahnEmote = 1
PRD-STO-M-FI-BUY-FedBorgBridgeOfficer,"ST.All,ST.Fedpersonnel,ST.Items",240 _CrypticPoints,1,StarTrek,PRD-STO-M-FI-FedBorgBridgeOfficer < 1,PRD-STO-M-FI-FedBorgBridgeOfficer = 1
PRD-STO-M-PS-BUY-JoinedTrill ,"ST.All,ST.Speciesfed,ST.Speciesklg",240 _CrypticPoints,1,StarTrek,"""""",ST.Species.SF_TrillAncient_Male = 1
PRD-STO-M-FI-BUY-KlingonBorgBridgeOfficer,"ST.Items,ST.All,ST.Klgpersonnel",240 _CrypticPoints,1,StarTrek,PRD-STO-M-FI-KlingonBorgBridgeOfficer <  1,PRD-STO-M-FI-KlingonBorgBridgeOfficer =  1
PRD-STO-M-FI-BUY-UssEnterprise,"ST.Ships,ST.All",800 _CrypticPoints,1,StarTrek,PRD-STO-M-FI-UssEnterprise < 1,PRD-STO-M-FI-UssEnterprise = 1
PRD-STO-M-PT-BUY-Targ,"ST.All,ST.Items,ST.Pets",120 _CrypticPoints,1,StarTrek,PRD-STO-M-PT-Targ < 1,PRD-STO-M-PT-Targ = 1
PRD-STO-M-PT-BUY-Tribble,"ST.Pets,ST.Items,ST.All",120 _CrypticPoints,1,StarTrek,PRD-STO-M-PT-Tribble < 1,PRD-STO-M-PT-Tribble = 1
PRD-STO-M-S-BUY-GalaxyTier5,"ST.All, ST.Ships",2000 _CrypticPoints,1,StarTrek,STORecruitBilledBonus < 5,STORecruitBilledBonus += 5
PRD-STO-M-CP-BUY-Kahn,"ST.All,ST.Captaincostumes",0 _CrypticPoints,1,StarTrek,,
PRD-STO-M-PS-FedCaitian,"ST.Speciesfed,ST.All",200 _CrypticPoints,1,StarTrek,,
