name,description,billingstatementidentifier,,,,,
SP-CO-6MonthPOR1,Champions Online Recurring 1-Month with Discounted 6-Month Presale,,"loc:""de"":""1-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""en-US"":""1-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""fr"":""1-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""it"":""1-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""es"":""1-Month Recurring with Discounted 6-Month Presale"":"" """
SP-CO-GameCard-v2,Champions Online Game Card. Version 2,,"loc:""de"":""Champions Online Game Card"":"" ""","loc:""en-US"":""Champions Online Game Card"":"" ""","loc:""fr"":""Champions Online Game Card"":"" ""","loc:""it"":""Champions Online Game Card"":"" ""","loc:""es"":""Champions Online Game Card"":"" """
SP-STO-GameCard,Star Trek Online Game Card,,"loc:""de"":""Game Card"":"" ""","loc:""en-US"":""Game Card"":"" ""","loc:""fr"":""Game Card"":"" ""","loc:""it"":""Game Card"":"" ""","loc:""es"":""Game Card"":"" """
SP-CO-6MonthPOR3,Champions Online Recurring 3-Month with Discounted 6-Month Presale,,"loc:""de"":""3-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""en-US"":""3-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""fr"":""3-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""it"":""3-Month Recurring with Discounted 6-Month Presale"":"" ""","loc:""es"":""3-Month Recurring with Discounted 6-Month Presale"":"" """
SP-CO-R6Month,Champions Online 6-Month Recurring,,"loc:""de"":""6-Month Recurring"":"" ""","loc:""en-US"":""6-Month Recurring"":"" ""","loc:""fr"":""6-Month Recurring"":"" ""","loc:""it"":""6-Month Recurring"":"" ""","loc:""es"":""6-Month Recurring"":"" """
SP-STO-R3Month,Star Trek Online Recurring 3-Month,,"loc:""de"":""Recurring 3-Month"":"" ""","loc:""en-US"":""Recurring 3-Month"":"" ""","loc:""fr"":""Recurring 3-Month"":"" ""","loc:""it"":""Recurring 3-Month"":"" ""","loc:""es"":""Recurring 3-Month"":"" """
six month invis hack,Champions Online Game Card. With 6 Month Preorder,,"loc:""de"":""Champions Online 6 Month Preorder"":"" ""","loc:""en-US"":""Champions Online 6 Month Preorder"":"" ""","loc:""fr"":""Champions Online 6 Month Preorder"":"" ""","loc:""it"":""Champions Online 6 Month Preorder"":"" ""","loc:""es"":""Champions Online 6 Month Preorder"":"" """
SP-STO-R1Month,Star Trek Online Recurring 1-Month,,"loc:""de"":""Recurring 1-Month"":"" ""","loc:""en-US"":""Recurring 1-Month"":"" ""","loc:""fr"":""Recurring 1-Month"":"" ""","loc:""it"":""Recurring 1-Month"":"" ""","loc:""es"":""Recurring 1-Month"":"" """
SP-STO-Lifetime,Star Trek Online Post Launch Lifetime Sub,,"loc:""de"":""Lifetime "":"" ""","loc:""en-US"":""Lifetime "":"" ""","loc:""fr"":""Lifetime "":"" ""","loc:""it"":""Lifetime "":"" ""","loc:""es"":""Lifetime "":"" """
